doc_id,entity,label
malawi24_108,UTM,ORG
malawi24_108,UTM,ORG
malawi24_108,Lilongwe,GPE
malawi24_108,Friday,DATE
malawi24_108,Biwi,ORG
malawi24_108,Kawale,GPE
malawi24_108,Mchesi,GPE
malawi24_108,Patricia Kaliati,PERSON
malawi24_108,Kaliati,GPE
malawi24_108,Democratic Progressive Party,ORG
malawi24_108,the Department of Disaster and Management Affairs,ORG
malawi24_108,Kalimbo,PERSON
malawi24_108,Kalimbo,PERSON
malawi24_108,UTM,ORG
malawi24_108,28,CARDINAL
malawi24_108,120,CARDINAL
malawi24_134,328,CARDINAL
malawi24_134,Karonga,GPE
malawi24_134,Tuesday,DATE
malawi24_134,Wednesday,DATE
malawi24_134,Karonga,GPE
malawi24_134,328,CARDINAL
malawi24_134,Lufilya River,LOC
malawi24_134,nine,CARDINAL
malawi24_134,Karonga District Council’s,ORG
malawi24_134,DPD,ORG
malawi24_134,Isaac Mkandawire,PERSON
malawi24_134,four,CARDINAL
malawi24_134,Ngerenge,ORG
malawi24_134,nine,CARDINAL
malawi24_134,Kilupula,PERSON
malawi24_134,40,DATE
malawi24_134,70,CARDINAL
malawi24_134,Mkandawire,ORG
malawi24_134,Kalongolera,ORG
malawi24_134,Kyungu River,LOC
malawi24_134,Kakolya,GPE
malawi24_134,Ntakisi,GPE
malawi24_134,Kalongolera,ORG
malawi24_134,Mwambuli,GPE
malawi24_134,Kalongolera,GPE
malawi24_134,one,CARDINAL
malawi24_134,two,CARDINAL
malawi24_134,Mwakyusa,ORG
malawi24_134,Mwangali,GPE
malawi24_134,Kalongolera,ORG
times.mw_76,Lazarus Chakwera,PERSON
times.mw_76,Jameson Chauluka,PERSON
times.mw_76,Malawi Congress Party,ORG
times.mw_76,Lazarus Chakwera,PERSON
times.mw_76,year-out,DATE
times.mw_76,Chakwera,PERSON
times.mw_76,Nyachikadza and Mankhokwe,ORG
times.mw_76,Ntowe,PERSON
times.mw_76,Nsanje District,LOC
times.mw_76,Sunday,DATE
times.mw_76,Department of Disaster Management Affairs,ORG
times.mw_76,56,CARDINAL
times.mw_76,577,CARDINAL
times.mw_76,the Southern Region,LOC
times.mw_76,Chakwera,ORG
times.mw_76,Malawi,PERSON
times.mw_76,“Plans,NORP
times.mw_76,Chakwera,ORG
times.mw_76,Shire River,LOC
times.mw_76,Chakwera,ORG
times.mw_76,over 2,000,CARDINAL
times.mw_76,two,CARDINAL
nyasatimes_77,Hailstorm,ORG
nyasatimes_77,Kenneth,PERSON
nyasatimes_77,Hailstorm,ORG
nyasatimes_77,Rumphi,NORP
nyasatimes_77,Kenneth,PERSON
nyasatimes_77,Friday,DATE
nyasatimes_77,Mlowe,GPE
nyasatimes_77,three,CARDINAL
nyasatimes_77,five,CARDINAL
nyasatimes_77,nine,CARDINAL
nyasatimes_77,Kenneth,PERSON
nyasatimes_77,Nicholas Dausi,PERSON
nyasatimes_77,Hastings Kachale,PERSON
nyasatimes_77,the Department of Climate Change and Meteorological Services,ORG
nyasatimes_77,Jolam Nkhokwe,PERSON
nyasatimes_77,Climate Change and Meteorological Services,ORG
nyasatimes_77,the Indian Ocean,LOC
nyasatimes_77,1008,DATE
nyasatimes_77,Indian Ocean,LOC
nyasatimes_77,Madagascar,GPE
nyasatimes_77,9.4 degrees,QUANTITY
nyasatimes_77,50.3 degrees,QUANTITY
nyasatimes_77,1874km,QUANTITY
nyasatimes_77,Nkhata Bay,FAC
nyasatimes_88,Illovo Malawi,PERSON
nyasatimes_88,K13,ORG
nyasatimes_88,Chikwawa,ORG
nyasatimes_88,Nsanje,ORG
nyasatimes_88,Illovo Sugar Malawi,ORG
nyasatimes_88,K13 million,LAW
nyasatimes_88,Chikwawa,PERSON
nyasatimes_88,Nsanje,ORG
nyasatimes_88,Malawi,ORG
nyasatimes_88,more than 50,CARDINAL
nyasatimes_88,hundreds,CARDINAL
nyasatimes_88,Peter Mutharika,PERSON
nyasatimes_88,the Southern Region,LOC
nyasatimes_88,Chikwawa District,PERSON
nyasatimes_88,34,CARDINAL
nyasatimes_88,53 920,CARDINAL
nyasatimes_88,Illovo Sugar Malawi-,ORG
nyasatimes_88,Nchalo Estate Marc Pousson,ORG
nyasatimes_88,10 tons,QUANTITY
nyasatimes_88,100,CARDINAL
nyasatimes_88,one,CARDINAL
nyasatimes_88,FES,ORG
nyasatimes_88,Unitrans,NORP
nyasatimes_88,Malawi Red Cross,ORG
nyasatimes_88,Paramount,ORG
nyasatimes_88,Illovo,ORG
nyasatimes_88,Paramount Lundu,PERSON
nyasatimes_88,Unitrans,NORP
nyasatimes_88,K500 000,CARDINAL
nyasatimes_88,Total,ORG
nyasatimes_88,K2 million,CARDINAL
nyasatimes_88,K500 000,CARDINAL
nyasatimes_88,Farm Engineering Services,ORG
nyasatimes_62,Chipasula,PERSON
nyasatimes_62,Lilongwe,GPE
nyasatimes_62,Human Rights Defenders Coalition,ORG
nyasatimes_62,Chipasula,GPE
nyasatimes_62,Lilongwe,GPE
nyasatimes_62,HRDC,ORG
nyasatimes_62,Timothy Mtambo,PERSON
nyasatimes_62,HRDC,ORG
nyasatimes_62,the floods year,DATE
nyasatimes_62,year,DATE
nyasatimes_62,Mtambo,ORG
nyasatimes_62,HRDC Gift Trapence,ORG
nyasatimes_62,Kawale,GPE
nyasatimes_62,500,CARDINAL
nyasatimes_62,Kawale,GPE
nyasatimes_62,Biwi,ORG
nyasatimes_62,Chipasula,PERSON
nyasatimes_62,22,CARDINAL
malawi24_24,six,CARDINAL
malawi24_24,six,CARDINAL
malawi24_24,Chikwawa,PERSON
malawi24_24,Constable Foster Benjamin,ORG
malawi24_24,one,CARDINAL
malawi24_24,a Health Surveillance Assistant,ORG
malawi24_24,two,CARDINAL
malawi24_24,Livunzu River,LOC
malawi24_24,Wednesday evening,TIME
malawi24_24,Maperera Health Centre,FAC
malawi24_24,Nkhathe River,LOC
malawi24_24,East Bank,GPE
malawi24_24,Khongono,LOC
malawi24_24,Traditional Authority Changata,ORG
malawi24_24,Thyolo,GPE
malawi24_24,Thyolo,ORG
malawi24_24,35-year-old,DATE
malawi24_24,Alice Kalikokha,PERSON
malawi24_24,6-year-old,DATE
malawi24_24,Traditional Authority Maseya’s,ORG
malawi24_24,six,CARDINAL
malawi24_26,Blantyre Press Club,ORG
malawi24_26,The Blantyre Press Club,ORG
malawi24_26,this Friday,DATE
malawi24_26,Blantyre,GPE
malawi24_26,thousands,CARDINAL
malawi24_26,Chikwawa,GPE
malawi24_26,Blantyre Press Club,ORG
malawi24_26,Blessings Kanache,PERSON
malawi24_26,thousands,CARDINAL
malawi24_26,15,CARDINAL
malawi24_26,Kanache,ORG
malawi24_26,Malawian,NORP
malawi24_26,Chikwawa,LOC
malawi24_26,Chikwawa,PERSON
malawi24_26,Kanache,ORG
malawi24_26,Nsanje,ORG
malawi24_26,Blantyre,PERSON
malawi24_26,Kanache,ORG
malawi24_26,Mibawa Multi,PERSON
malawi24_26,Limbe,GPE
malawi24_26,K2500,NORP
malawi24_26,Malawi,ORG
malawi24_26,The Black Missionaries,ORG
malawi24_26,the Malawi Red Cross,ORG
malawi24_26,Friday,DATE
nyasatimes_60,Lower Shire,GPE
nyasatimes_60,Nsanje,GPE
nyasatimes_60,two,CARDINAL
nyasatimes_60,One,CARDINAL
nyasatimes_60,Nyachikadza,PERSON
nyasatimes_60,Nyachikadza,PERSON
nyasatimes_60,Malemia,PERSON
nyasatimes_60,Nsanje,ORG
nyasatimes_60,At least 500,CARDINAL
nyasatimes_60,Nsanje,GPE
nyasatimes_48,Balaka,GPE
nyasatimes_48,2,CARDINAL
nyasatimes_48,Mangochi,GPE
nyasatimes_48,two year old,DATE
nyasatimes_48,Balaka,GPE
nyasatimes_48,Friday,DATE
nyasatimes_48,evening,TIME
nyasatimes_48,Balaka District,LOC
nyasatimes_48,the past five days,DATE
nyasatimes_48,Dorothy Mauwa,PERSON
nyasatimes_48,28,DATE
nyasatimes_48,Emmanuella Bwekere,ORG
nyasatimes_48,Friday,DATE
nyasatimes_48,10 pm,TIME
nyasatimes_48,three,CARDINAL
nyasatimes_48,Mauwa,PERSON
nyasatimes_48,three,CARDINAL
nyasatimes_48,Thursday,DATE
nyasatimes_48,this day,DATE
nyasatimes_48,Friday,DATE
nyasatimes_48,around 10 pm,TIME
nyasatimes_48,Saturday,DATE
nyasatimes_48,Balaka,GPE
nyasatimes_48,Emmanuelle,GPE
nyasatimes_48,Samati Village,GPE
nyasatimes_48,Traditional Authority,ORG
nyasatimes_48,Balaka,GPE
nyasatimes_48,Mangochi,GPE
nyasatimes_48,two,CARDINAL
nyasatimes_48,the early hours,TIME
nyasatimes_48,Sunday,DATE
nyasatimes_48,two,CARDINAL
nyasatimes_48,Patuma Welemu,ORG
nyasatimes_48,53,DATE
nyasatimes_48,Rose Ayami,PERSON
nyasatimes_48,6,DATE
nyasatimes_48,Nsinje Village,GPE
nyasatimes_48,Group Village,ORG
nyasatimes_48,Headman Michesi,PERSON
nyasatimes_48,Mangochi District,LOC
nyasatimes_48,the night,TIME
nyasatimes_48,two,CARDINAL
nyasatimes_48,Koche Hospital,ORG
nyasatimes_48,DC,GPE
nyasatimes_48,The Department of Disaster Management Affairs,ORG
nyasatimes_48,Sunday,DATE
nyasatimes_48,afternoon,TIME
nyasatimes_48,Homeland Security,ORG
nyasatimes_48,Nicholas Dausi,PERSON
nyasatimes_48,two,CARDINAL
nyasatimes_48,Monday,DATE
nyasatimes_48,Mangochi,GPE
nyasatimes_48,7:30am,CARDINAL
nyasatimes_48,Balaka District,LOC
nyasatimes_48,DoDMA Public Relations Officer,ORG
nyasatimes_48,Chipiliro Khamula,PERSON
nyasatimes_48,Sunday,DATE
nyasatimes_61,Belgium,GPE
nyasatimes_61,Ronny van Geneugden,PERSON
nyasatimes_61,Wednesday,DATE
nyasatimes_61,Mwalija,PRODUCT
nyasatimes_61,Chikwawa,GPE
nyasatimes_61,Flames,ORG
nyasatimes_61,James Sangala,PERSON
nyasatimes_61,Geneugden,PERSON
nyasatimes_61,Belgium,GPE
nyasatimes_61,Malawi,PERSON
nyasatimes_61,some two years ago,DATE
nyasatimes_61,Chikwawa District Commissioner,ORG
nyasatimes_61,Lusizi Nhlane,PERSON
nyasatimes_61,RVG,ORG
nyasatimes_61,Nhlane,PERSON
