doc_id,entity,label,frequency
malawi24_108,UTM,ORG,3
malawi24_108,Kalimbo,PERSON,2
malawi24_108,Lilongwe,GPE,1
malawi24_108,Friday,DATE,1
malawi24_108,Biwi,ORG,1
malawi24_108,Kawale,GPE,1
malawi24_108,Mchesi,GPE,1
malawi24_108,Patricia Kaliati,PERSON,1
malawi24_108,Kaliati,GPE,1
malawi24_108,Democratic Progressive Party,ORG,1
malawi24_108,the Department of Disaster and Management Affairs,ORG,1
malawi24_108,28,CARDINAL,1
malawi24_108,120,CARDINAL,1
malawi24_134,Kalongolera,ORG,3
malawi24_134,328,CARDINAL,2
malawi24_134,Karonga,GPE,2
malawi24_134,nine,CARDINAL,2
malawi24_134,Tuesday,DATE,1
malawi24_134,Wednesday,DATE,1
malawi24_134,Lufilya River,LOC,1
malawi24_134,Karonga District Council’s,ORG,1
malawi24_134,DPD,ORG,1
malawi24_134,Isaac Mkandawire,PERSON,1
malawi24_134,four,CARDINAL,1
malawi24_134,Ngerenge,ORG,1
malawi24_134,Kilupula,PERSON,1
malawi24_134,40,DATE,1
malawi24_134,70,CARDINAL,1
malawi24_134,Mkandawire,ORG,1
malawi24_134,Kyungu River,LOC,1
malawi24_134,Kakolya,GPE,1
malawi24_134,Ntakisi,GPE,1
malawi24_134,Mwambuli,GPE,1
malawi24_134,Kalongolera,GPE,1
malawi24_134,one,CARDINAL,1
malawi24_134,two,CARDINAL,1
malawi24_134,Mwakyusa,ORG,1
malawi24_134,Mwangali,GPE,1
times.mw_76,Chakwera,ORG,3
times.mw_76,Lazarus Chakwera,PERSON,2
times.mw_76,Jameson Chauluka,PERSON,1
times.mw_76,Malawi Congress Party,ORG,1
times.mw_76,year-out,DATE,1
times.mw_76,Chakwera,PERSON,1
times.mw_76,Nyachikadza and Mankhokwe,ORG,1
times.mw_76,Ntowe,PERSON,1
times.mw_76,Nsanje District,LOC,1
times.mw_76,Sunday,DATE,1
times.mw_76,Department of Disaster Management Affairs,ORG,1
times.mw_76,56,CARDINAL,1
times.mw_76,577,CARDINAL,1
times.mw_76,the Southern Region,LOC,1
times.mw_76,Malawi,PERSON,1
times.mw_76,“Plans,NORP,1
times.mw_76,Shire River,LOC,1
times.mw_76,over 2,000,CARDINAL,1
times.mw_76,two,CARDINAL,1
nyasatimes_77,Kenneth,PERSON,3
nyasatimes_77,Hailstorm,ORG,2
nyasatimes_77,Rumphi,NORP,1
nyasatimes_77,Friday,DATE,1
nyasatimes_77,Mlowe,GPE,1
nyasatimes_77,three,CARDINAL,1
nyasatimes_77,five,CARDINAL,1
nyasatimes_77,nine,CARDINAL,1
nyasatimes_77,Nicholas Dausi,PERSON,1
nyasatimes_77,Hastings Kachale,PERSON,1
nyasatimes_77,the Department of Climate Change and Meteorological Services,ORG,1
nyasatimes_77,Jolam Nkhokwe,PERSON,1
nyasatimes_77,Climate Change and Meteorological Services,ORG,1
nyasatimes_77,the Indian Ocean,LOC,1
nyasatimes_77,1008,DATE,1
nyasatimes_77,Indian Ocean,LOC,1
nyasatimes_77,Madagascar,GPE,1
nyasatimes_77,9.4 degrees,QUANTITY,1
nyasatimes_77,50.3 degrees,QUANTITY,1
nyasatimes_77,1874km,QUANTITY,1
nyasatimes_77,Nkhata Bay,FAC,1
nyasatimes_88,Nsanje,ORG,2
nyasatimes_88,Unitrans,NORP,2
nyasatimes_88,K500 000,CARDINAL,2
nyasatimes_88,Illovo Malawi,PERSON,1
nyasatimes_88,K13,ORG,1
nyasatimes_88,Chikwawa,ORG,1
nyasatimes_88,Illovo Sugar Malawi,ORG,1
nyasatimes_88,K13 million,LAW,1
nyasatimes_88,Chikwawa,PERSON,1
nyasatimes_88,Malawi,ORG,1
nyasatimes_88,more than 50,CARDINAL,1
nyasatimes_88,hundreds,CARDINAL,1
nyasatimes_88,Peter Mutharika,PERSON,1
nyasatimes_88,the Southern Region,LOC,1
nyasatimes_88,Chikwawa District,PERSON,1
nyasatimes_88,34,CARDINAL,1
nyasatimes_88,53 920,CARDINAL,1
