doc_id,keyword
malawi24_108,party
malawi24_108,items
malawi24_108,utm
malawi24_108,people
malawi24_108,general
malawi24_108,government
malawi24_108,food
malawi24_108,victims
malawi24_108,affected
malawi24_108,secretary
malawi24_134,district
malawi24_134,rice
malawi24_134,floods
malawi24_134,households
malawi24_134,karonga
malawi24_134,river
malawi24_134,villages
malawi24_134,kalongolera
malawi24_134,damage
malawi24_134,rains
times.mw_76,floods
times.mw_76,chakwera
times.mw_76,people
times.mw_76,country
times.mw_76,plans
times.mw_76,camps
times.mw_76,lazarus
times.mw_76,permanent
times.mw_76,solutions
times.mw_76,malawi
nyasatimes_77,cyclone
nyasatimes_77,victims
nyasatimes_77,kenneth
nyasatimes_77,government
nyasatimes_77,people
nyasatimes_77,pressure
nyasatimes_77,hailstorm
nyasatimes_77,landing
nyasatimes_77,officials
nyasatimes_77,area
nyasatimes_88,items
nyasatimes_88,company
nyasatimes_88,camps
nyasatimes_88,illovo
nyasatimes_88,malawi
nyasatimes_88,relief
nyasatimes_88,flood
nyasatimes_88,communities
nyasatimes_88,chikwawa
nyasatimes_88,victims
nyasatimes_62,residents
nyasatimes_62,hrdc
nyasatimes_62,chipasula
nyasatimes_62,river
nyasatimes_62,lilongwe
nyasatimes_62,officials
nyasatimes_62,government
nyasatimes_62,property
nyasatimes_62,mtambo
nyasatimes_62,chairperson
malawi24_24,chikwawa
malawi24_24,health
malawi24_24,area
malawi24_24,floods
malawi24_24,heavy
malawi24_24,people
malawi24_24,dead
malawi24_24,development
malawi24_24,police
malawi24_24,public
malawi24_26,people
malawi24_26,club
malawi24_26,kanache
malawi24_26,blantyre
malawi24_26,press
malawi24_26,flood
malawi24_26,victims
malawi24_26,floods
malawi24_26,chikwawa
malawi24_26,bpc
nyasatimes_60,upland
nyasatimes_60,government
nyasatimes_60,nsanje
nyasatimes_60,floods
nyasatimes_60,chief
nyasatimes_60,devastating
nyasatimes_60,people
nyasatimes_60,chiefs
nyasatimes_60,areas
nyasatimes_60,graves
nyasatimes_48,house
nyasatimes_48,balaka
nyasatimes_48,baby
nyasatimes_48,mangochi
nyasatimes_48,district
nyasatimes_48,deceased
nyasatimes_48,area
nyasatimes_48,friday
nyasatimes_48,rains
nyasatimes_48,mother
nyasatimes_61,flood
nyasatimes_61,survivors
nyasatimes_61,malawi
nyasatimes_61,support
nyasatimes_61,football
nyasatimes_61,rvg
nyasatimes_61,items
nyasatimes_61,clothes
nyasatimes_61,flames
nyasatimes_61,floods
nyasatimes_75,flooding
nyasatimes_75,week
nyasatimes_75,department
nyasatimes_75,weather
nyasatimes_75,climate
nyasatimes_75,change
nyasatimes_75,meteorological
nyasatimes_75,services
nyasatimes_75,nkhokwe
nyasatimes_75,heavy
mwnation_32,hospital
mwnation_32,people
mwnation_32,chiradzulu
mwnation_32,district
mwnation_32,house
mwnation_32,children
mwnation_32,march
mwnation_32,kazembe
mwnation_32,village
mwnation_32,mpama
nyasatimes_59,people
nyasatimes_59,mutharika
nyasatimes_59,victims
nyasatimes_59,president
nyasatimes_59,district
nyasatimes_59,disasters
nyasatimes_59,social
nyasatimes_59,cash
nyasatimes_59,housing
nyasatimes_59,thyolo
nyasatimes_71,tnm
nyasatimes_71,malawi
nyasatimes_71,red
nyasatimes_71,cross
nyasatimes_71,disaster
nyasatimes_71,relief
nyasatimes_71,victims
nyasatimes_71,society
nyasatimes_71,flood
nyasatimes_71,items
nyasatimes_65,malawi
nyasatimes_65,tanzania
nyasatimes_65,medical
nyasatimes_65,supplies
nyasatimes_65,maize
nyasatimes_65,items
nyasatimes_65,friend
nyasatimes_65,people
nyasatimes_65,disaster
nyasatimes_65,heavy
nyasatimes_64,government
nyasatimes_64,relief
nyasatimes_64,malawi
nyasatimes_64,floods
nyasatimes_64,chiradzulu
nyasatimes_64,items
nyasatimes_64,president
nyasatimes_64,disaster
nyasatimes_64,heavy
